7.891989891512518035e-34,3.220043741171997147e-41,7.892000911772056994e-34
1.515713229309767485e-04,5.634357876260764897e-05,1.938606728799641132e-04
8.848734432831406593e-05,4.198526585241779685e-05,-1.810801768442615867e-05
3.054177068406715989e-05,1.995767888729460537e-05,-2.808670978993177414e-05
-3.449664291110821068e-05,1.598450580786447972e-06,-1.020603012875653803e-04
-1.487927802372723818e-04,-1.120942906709387898e-04,9.254053293261677027e-05
-3.813744115177541971e-05,-1.756731944624334574e-05,6.405146450561005622e-06
-1.621566334506496787e-04,-1.471174473408609629e-04,2.182317839469760656e-04
-2.501281596778426319e-05,-3.736658072739373893e-06,9.495532140135765076e-06
-7.438415195792913437e-06,-4.456820897758007050e-05,1.545816776342689991e-04
-5.951584171270951629e-06,-6.284506980591686442e-06,1.552278263261541724e-05
1.461383653804659843e-04,4.326361522544175386e-05,2.014118217630311847e-04
-8.769233681960031390e-05,-6.520307942992076278e-05,7.058039773255586624e-05
6.448228305089287460e-06,1.919278474815655500e-05,-9.813133510760962963e-05
2.420252712909132242e-05,-1.042008516378700733e-04,5.154311074875295162e-04
-1.102726673707365990e-04,-7.841168553568422794e-05,6.732884503435343504e-05
8.620827429695054889e-05,5.898928793612867594e-05,-6.731637404300272465e-05
2.924960608652327210e-05,-3.034858127648476511e-05,2.648995723575353622e-04
-1.170558753074146807e-04,-1.379677705699577928e-04,2.911635674536228180e-04
-2.303421752003487200e-05,-2.315801066288258880e-05,3.865771759592462331e-06
5.965184755041263998e-06,2.454232526361010969e-05,-1.199008474941365421e-04
-1.599839597474783659e-04,-1.200537590193562210e-04,1.099729051929898560e-04
4.482165240915492177e-05,-1.947853343153838068e-05,1.684099552221596241e-04
7.614605419803410769e-05,3.353419015184044838e-05,-6.829081394243985415e-05
-4.594412530423142016e-05,-4.479597555473446846e-05,5.397214408731088042e-05
7.530892617069184780e-05,3.416448453208431602e-05,-2.215741260442882776e-04
-8.874380146153271198e-04,-1.039679860696196556e-03,-9.491174481809139252e-03
1.838678610511124134e-03,-5.126746837049722672e-03,1.619339454919099808e-03
6.230862345546483994e-03,-8.675845339894294739e-03,1.871511526405811310e-02
1.192948315292596817e-02,-1.377290673553943634e-02,3.351264819502830505e-02
1.377751771360635757e-02,-1.577149331569671631e-02,4.089714214205741882e-02
2.169273421168327332e-02,-2.116397954523563385e-02,6.640989333391189575e-02
2.026744559407234192e-02,-2.011063508689403534e-02,5.991543084383010864e-02
2.191745489835739136e-02,-2.972673997282981873e-02,7.867386937141418457e-02
3.464414551854133606e-02,-3.847775980830192566e-02,1.282639652490615845e-01
3.936720266938209534e-02,-4.926502704620361328e-02,1.497811079025268555e-01
3.059559129178524017e-02,-3.520423918962478638e-02,7.536888122558593750e-02
3.021909855306148529e-02,-3.227891027927398682e-02,7.082267105579376221e-02
4.206086322665214539e-02,-5.188184231519699097e-02,1.389725506305694580e-01
3.948640450835227966e-02,-3.324737399816513062e-02,9.560411423444747925e-02
3.739009797573089600e-02,-4.058020561933517456e-02,1.035264953970909119e-01
6.834319233894348145e-02,-4.657364636659622192e-02,1.933918446302413940e-01
2.628456428647041321e-02,-3.284963220357894897e-02,4.315078631043434143e-02
2.777869999408721924e-02,-3.340033441781997681e-02,3.900288045406341553e-02
4.437662661075592041e-02,-3.515440970659255981e-02,1.003088355064392090e-01
4.037373512983322144e-02,-4.864845797419548035e-02,1.308267861604690552e-01
3.449020907282829285e-02,-4.462696239352226257e-02,1.081359758973121643e-01
3.417137265205383301e-02,-3.956288099288940430e-02,7.094287872314453125e-02
3.618918359279632568e-02,-3.959200531244277954e-02,8.945864439010620117e-02
5.418162792921066284e-02,-4.390818253159523010e-02,1.578612029552459717e-01
3.886166214942932129e-02,-4.388314485549926758e-02,1.084589064121246338e-01
6.998957693576812744e-02,-4.565209522843360901e-02,1.969442367553710938e-01
4.452809691429138184e-02,-5.269645527005195618e-02,1.586372107267379761e-01
2.918181568384170532e-02,-4.534646123647689819e-02,7.246920466423034668e-02
2.844537422060966492e-02,-3.860423713922500610e-02,7.114705443382263184e-02
5.923353880643844604e-02,-5.763814970850944519e-02,2.126606404781341553e-01
3.086244687438011169e-02,-4.222501814365386963e-02,8.688119053840637207e-02
2.897928282618522644e-02,-4.290866479277610779e-02,8.137613534927368164e-02
3.731741011142730713e-02,-3.644802048802375793e-02,7.410001009702682495e-02
3.144345432519912720e-02,-4.119140282273292542e-02,9.761347621679306030e-02
6.175809353590011597e-02,-5.580840632319450378e-02,2.138102054595947266e-01
7.975222915410995483e-02,-5.675433576107025146e-02,2.617156207561492920e-01
3.087411448359489441e-02,-4.172011837363243103e-02,1.112218499183654785e-01
4.320535808801651001e-02,-4.503519833087921143e-02,1.343865990638732910e-01
6.031871959567070007e-02,-4.727637022733688354e-02,1.940498054027557373e-01
4.593839868903160095e-02,-4.194632172584533691e-02,1.462117582559585571e-01
3.452251851558685303e-02,-4.868372157216072083e-02,1.353838890790939331e-01
4.634992405772209167e-02,-4.656337201595306396e-02,1.392345130443572998e-01
3.933090344071388245e-02,-4.243365302681922913e-02,1.162835881114006042e-01
3.696622326970100403e-02,-4.223486036062240601e-02,1.097254455089569092e-01
4.651302099227905273e-02,-4.742085561156272888e-02,1.401195377111434937e-01
2.632908336818218231e-02,-3.860983997583389282e-02,7.668490707874298096e-02
3.340910002589225769e-02,-2.912100963294506073e-02,6.599871814250946045e-02
3.406055271625518799e-02,-4.481944069266319275e-02,1.161569654941558838e-01
3.170238435268402100e-02,-4.168317094445228577e-02,8.276852220296859741e-02
3.603491932153701782e-02,-4.439486563205718994e-02,1.087789684534072876e-01
3.885345906019210815e-02,-4.550673440098762512e-02,1.458331644535064697e-01
5.179765075445175171e-02,-4.990762472152709961e-02,1.679932624101638794e-01
3.570254519581794739e-02,-3.753131255507469177e-02,9.322191774845123291e-02
2.655953168869018555e-02,-4.016371071338653564e-02,6.782564520835876465e-02
3.835971653461456299e-02,-4.657407104969024658e-02,1.403602808713912964e-01
4.732339456677436829e-02,-3.854906558990478516e-02,1.320686638355255127e-01
3.143000602722167969e-02,-2.856846898794174194e-02,5.415078252553939819e-02
5.203346908092498779e-02,-5.322473868727684021e-02,1.800033897161483765e-01
4.364750906825065613e-02,-3.902108222246170044e-02,9.688045084476470947e-02
2.865365333855152130e-02,-3.781120106577873230e-02,7.372169196605682373e-02
4.984977841377258301e-02,-4.835438728332519531e-02,1.792915165424346924e-01
5.438571423292160034e-02,-5.487844347953796387e-02,1.645650118589401245e-01
4.804214462637901306e-02,-4.612828418612480164e-02,1.416649371385574341e-01
3.763417527079582214e-02,-4.929812252521514893e-02,1.330573558807373047e-01
4.589517414569854736e-02,-3.982713818550109863e-02,1.093866601586341858e-01
2.858420088887214661e-02,-5.237310752272605896e-02,1.157180219888687134e-01
2.374172583222389221e-02,-3.231299296021461487e-02,3.608642518520355225e-02
2.806515060365200043e-02,-3.967562690377235413e-02,7.341705262660980225e-02
3.173063695430755615e-02,-3.407379984855651855e-02,7.716518640518188477e-02
4.359052330255508423e-02,-5.160436406731605530e-02,1.498242467641830444e-01
4.250807687640190125e-02,-4.059311002492904663e-02,1.121284887194633484e-01
5.887302383780479431e-02,-5.356817692518234253e-02,2.102584391832351685e-01
3.912971168756484985e-02,-4.353827983140945435e-02,1.182510703802108765e-01
3.834905475378036499e-02,-5.757135897874832153e-02,1.529636681079864502e-01
5.576410517096519470e-02,-5.235283821821212769e-02,1.821624040603637695e-01
4.466667398810386658e-02,-6.026671081781387329e-02,1.943322271108627319e-01
4.517874121665954590e-02,-3.662477433681488037e-02,1.131579205393791199e-01
2.835937589406967163e-02,-4.614581540226936340e-02,8.109430968761444092e-02
4.951178655028343201e-02,-4.410407692193984985e-02,1.489708125591278076e-01
2.648676559329032898e-02,-3.317033872008323669e-02,4.344641417264938354e-02
2.632035687565803528e-02,-4.600701853632926941e-02,8.327791839838027954e-02
4.386498034000396729e-02,-5.661888793110847473e-02,1.785001158714294434e-01
2.654238604009151459e-02,-3.665025159716606140e-02,6.778819859027862549e-02
6.074357405304908752e-02,-5.672731995582580566e-02,2.119843959808349609e-01
3.880600631237030029e-02,-4.607725143432617188e-02,1.221624761819839478e-01
5.923112109303474426e-02,-4.610498249530792236e-02,1.902859508991241455e-01
4.023711383342742920e-02,-3.839053958654403687e-02,1.028859466314315796e-01
3.573057428002357483e-02,-3.848975896835327148e-02,1.041743457317352295e-01
3.275258094072341919e-02,-3.205137699842453003e-02,5.744131281971931458e-02
4.741537198424339294e-02,-4.766888916492462158e-02,1.578620225191116333e-01
3.720633685588836670e-02,-4.806555807590484619e-02,1.356365829706192017e-01
2.760511264204978943e-02,-3.911269456148147583e-02,6.199885904788970947e-02
3.387289494276046753e-02,-4.049414768815040588e-02,1.116029620170593262e-01
2.382561191916465759e-02,-3.301373124122619629e-02,3.320493549108505249e-02
5.305251479148864746e-02,-4.866859689354896545e-02,1.626461595296859741e-01
2.881693094968795776e-02,-3.995585814118385315e-02,8.263475447893142700e-02
2.601406350731849670e-02,-3.311725705862045288e-02,2.856551483273506165e-02
2.773334272205829620e-02,-5.057841539382934570e-02,1.155693903565406799e-01
4.320739954710006714e-02,-5.183787271380424500e-02,1.595623046159744263e-01
1.445579715073108673e-02,-3.435632586479187012e-02,2.640542015433311462e-02
3.930865973234176636e-02,-5.403555184602737427e-02,1.517909914255142212e-01
2.597574517130851746e-02,-4.288385435938835144e-02,9.714846312999725342e-02
4.681331664323806763e-02,-5.252805724740028381e-02,1.591619700193405151e-01
2.456202358007431030e-02,-4.149993509054183960e-02,9.247165918350219727e-02
2.396647445857524872e-02,-3.318458050489425659e-02,3.598542883992195129e-02
4.523937404155731201e-02,-5.633803829550743103e-02,1.858256608247756958e-01
3.007170185446739197e-02,-4.272421449422836304e-02,8.562501519918441772e-02
3.024274110794067383e-02,-3.703444078564643860e-02,8.266633749008178711e-02
2.781916223466396332e-02,-4.265085235238075256e-02,9.427580237388610840e-02
1.297077536582946777e-02,-4.689951986074447632e-02,5.388848111033439636e-02
5.126570165157318115e-02,-4.825234040617942810e-02,1.668829619884490967e-01
4.428152740001678467e-02,-3.783646970987319946e-02,1.297861188650131226e-01
4.613707959651947021e-02,-4.928043857216835022e-02,1.580252796411514282e-01
4.021536186337471008e-02,-3.768254071474075317e-02,1.300083845853805542e-01
5.583418905735015869e-02,-4.254163429141044617e-02,1.915865540504455566e-01
-6.747394800186157227e-04,-3.257160633802413940e-02,3.622838109731674194e-02
1.737058162689208984e-02,-3.200114145874977112e-02,7.865048944950103760e-02
3.303558565676212311e-03,-2.525652199983596802e-02,4.448648914694786072e-02
-9.490309283137321472e-03,-2.951744757592678070e-02,3.503445535898208618e-02
-1.705317199230194092e-02,-2.839816547930240631e-02,2.612186595797538757e-02
-3.308146260678768158e-03,-1.950817927718162537e-02,3.301547467708587646e-02
-1.591627672314643860e-02,-2.206703647971153259e-02,2.188825607299804688e-02
-1.111904531717300415e-02,-1.373374462127685547e-02,1.244377158582210541e-02
-1.493337936699390411e-02,-1.410006359219551086e-02,1.302081905305385590e-02
-5.935733672231435776e-03,-3.473305609077215195e-03,-1.803638180717825890e-03
-3.093776293098926544e-03,2.054869197309017181e-03,-1.019915379583835602e-02
-2.695966046303510666e-03,6.298240274190902710e-03,-2.151659131050109863e-02
9.929770603775978088e-03,1.517226547002792358e-02,-2.256302535533905029e-02
9.356360882520675659e-03,1.847899518907070160e-02,-3.618747740983963013e-02
1.236333698034286499e-02,1.871163584291934967e-02,-3.006187826395034790e-02
